Common Name,Part Number,Description,Manufacturer,Package,Designator,Quantity,Price,Total Price,Url
Motor Driver,1568-14451-ND,EVAL BOARD FOR TB6612FNG,Sparkfun,N/A,,2,$15.02,$30.04,https://www.digikey.com/en/products/detail/sparkfun-electronics/14451/7915577
Gyroscope,1528-3886-ND,STEMMA QT MPU-6050  ACCEL GYRO,Adafruit,N/A,N/A,1,$12.95,$12.95,https://www.digikey.com/en/products/detail/adafruit-industries-llc/3886/10709725
